tp,idx,rndcount,size,duration,minerror,meanerror,maxerror,seqcount
1.4e+09, 1,  9467,1.5e+07,0.0130,-0.0210,-0.0090,-0.0069,   100
9.9e+08, 2, 54371,9.1e+06,0.0101,-0.0069,-0.0047,-0.0036,     8
2.3e+08, 3,825974,1.4e+06,0.0024,-0.0036,-0.0025, 0.0036,836841
5.5e+07, 4, 85462,1.2e+06,0.0143, 0.0036, 0.0096, 0.0156,   610
6.1e+07, 5, 37862,2.3e+06,0.0276, 0.0156, 0.0216, 0.0366,    39
5.8e+07, 6,  4695,4.0e+06,0.0598, 0.0366, 0.0516, 0.0976,     2
3.2e+07, 7,  1443,4.7e+06,0.1528, 0.0977, 0.1438, 0.2066,     0
4.5e+06, 8,   567,1.2e+06,0.2741, 0.2067, 0.2696, 0.4728,     0
3.0e+05, 9,   123,1.6e+05,0.6956, 0.4822, 0.6923, 1.0063,     0
9.4e+02,10,    36,1.0e+03,1.3627, 1.0396, 1.3597, 2.1216,     0
