DeltaTime,fd,OpTyp,DeltaOffset,Size,Duration
0.0196795,0,R,0,1048576,0.000453736
0.000468947,1,W,0,1048576,0.0010176
0.0010367,0,R,0,1048576,0.000104773
0.000113311,1,W,0,1048576,0.00066416
0.000673916,0,R,0,1048576,8.0755e-05
8.4756e-05,1,W,0,1048576,0.000624846
0.000631387,0,R,0,1048576,8.018e-05
8.3421e-05,1,W,0,1048576,0.000668802
0.000677376,0,R,0,1048576,8.1218e-05
8.4962e-05,1,W,0,1048576,0.000651878
0.000657962,0,R,0,1048576,8.0112e-05
8.3389e-05,1,W,0,1048576,0.000643085
0.000648585,0,R,0,1048576,8.0208e-05
8.3459e-05,1,W,0,1048576,0.000710022
0.00072088,0,R,0,1048576,8.05e-05
8.4199e-05,1,W,0,1048576,0.000631015
0.000638756,0,R,0,1048576,8.5283e-05
9.0143e-05,1,W,0,1048576,0.000642325
0.000651896,0,R,0,1048576,9.1539e-05
9.7734e-05,1,W,0,1048576,0.000647491
0.000655428,0,R,0,1048576,8.0262e-05
8.3505e-05,1,W,0,1048576,0.000693022
0.000701905,0,R,0,1048576,0.000106878
0.000114322,1,W,0,1048576,0.000929853
0.000946445,0,R,0,1048576,0.000109162
0.00011684,1,W,0,1048576,0.00107668
0.00109418,0,R,0,1048576,0.00014452
0.000172328,1,W,0,1048576,0.000711729
0.000728198,0,R,0,1048576,9.0367e-05
9.6932e-05,1,W,0,1048576,0.000604679
0.000613543,0,R,0,1048576,8.0638e-05
8.3983e-05,1,W,0,1048576,0.000680445
0.000692731,0,R,0,1048576,8.7665e-05
9.1909e-05,1,W,0,1048576,0.000679947
0.000689258,0,R,0,1048576,8.7587e-05
9.1565e-05,1,W,0,1048576,0.000583334
0.000590901,0,R,0,1048576,8.0802e-05
8.4223e-05,1,W,0,1048576,0.000593965
0.000603056,0,R,0,1048576,9.0471e-05
9.5042e-05,1,W,0,1048576,0.00065639
0.000666082,0,R,0,1048576,8.7935e-05
9.1739e-05,1,W,0,1048576,0.00073711
0.000753019,0,R,0,1048576,8.8829e-05
9.4797e-05,1,W,0,1048576,0.000732595
0.000747241,0,R,0,1048576,0.000100837
0.000104728,1,W,0,1048576,0.000691226
0.000703925,0,R,0,1048576,9.0606e-05
9.4897e-05,1,W,0,1048576,0.000625606
0.000635828,0,R,0,1048576,8.0567e-05
8.3894e-05,1,W,0,1048576,0.000596761
0.000604412,0,R,0,1048576,8.0839e-05
8.418e-05,1,W,0,1048576,0.000639712
0.000645331,0,R,0,1048576,8.0167e-05
8.3809e-05,1,W,0,1048576,0.000701526
0.000712884,0,R,0,1048576,8.1029e-05
8.4814e-05,1,W,0,1048576,0.000674235
0.00068197,0,R,0,1048576,8.0344e-05
8.4036e-05,1,W,0,1048576,0.00062254
0.000630625,0,R,0,1048576,9.3127e-05
0.000103134,1,W,0,1048576,0.000627365
0.000645135,0,R,0,1048576,8.0284e-05
8.4467e-05,1,W,0,1048576,0.000607162
0.000612772,0,R,0,1048576,8.0086e-05
8.3335e-05,1,W,0,1048576,0.000721171
0.000732464,0,R,0,1048576,9.103e-05
9.6595e-05,1,W,0,1048576,0.000668837
0.000676437,0,R,0,1048576,8.0639e-05
8.431e-05,1,W,0,1048576,0.000615578
0.000621523,0,R,0,1048576,8.0045e-05
8.3526e-05,1,W,0,1048576,0.000639022
0.000646474,0,R,0,1048576,8.6623e-05
9.1471e-05,1,W,0,1048576,0.000655385
0.000662471,0,R,0,1048576,8.0806e-05
8.4109e-05,1,W,0,1048576,0.000643093
0.00065115,0,R,0,1048576,8.0394e-05
8.432e-05,1,W,0,1048576,0.000664312
0.000672577,0,R,0,1048576,9.2797e-05
9.9061e-05,1,W,0,1048576,0.000584825
0.000591577,0,R,0,1048576,8.022e-05
8.3516e-05,1,W,0,1048576,0.000607365
