tp,idx,rndcount,minerror,meanerror,maxerror,seqcount
1.1e+09, 1, 14246,-0.0119,-0.0049,-0.0037,399709
2.3e+08, 2,336458,-0.0037,-0.0026, 0.0032,     0
4.3e+07, 3, 29368, 0.0032, 0.0090, 0.0139,     0
3.9e+07, 4, 15528, 0.0139, 0.0187, 0.0290,    37
3.5e+07, 5,  3250, 0.0290, 0.0392, 0.0763,   233
3.6e+07, 6,   508, 0.0764, 0.1136, 0.1596,     0
8.7e+06, 7,   415, 0.1602, 0.2062, 0.2655,     0
3.0e+06, 8,   150, 0.2667, 0.3264, 0.4728,    20
5.7e+04, 9,    61, 0.4822, 0.6229, 0.8279,     0
5.2e+03,10,    16, 0.8941, 1.0770, 1.4041,     1
